url,page_type,title,meta_description,h1_text,content_depth,status
/,page,Aging-In-Place Remodeling - Creating Safe Accessible Homes,"Aging-In-Place-Remodeling is a full service remodeling company specializing in providing products and services allowing people to stay in their homes.",The Premiere Safety & Accessibility Remodeling Company,rich,built
/contact-us/,page,San Diego Safe Accessible Homes for Independent Living,Contact request form for aging in place specialists,Aging In Place Contact Request Form,rich,built
/about-us/,page,About Us - Aging-In-Place Remodeling,Creating safe accessible homes for whatever the future holds,About Us,thin,not_built
/what-we-do/,page,Home modifications for accessibility / safety challenges,"Aging-In-Place Remodeling is your San Diego's premiere remodeler for any home modifications for accessibility / safety challenges.",What We Do,medium,not_built
/about-the-owners/,page,About the Owners - Aging-In-Place Remodeling,Company owner bios and history,About the Owners,thin,not_built
/products-and-services/,page,San Diego Accessibility & Safety Modifications & Remodels,"Aging-In-Place Remodeling - We sell and install Grab Bars Ramps Barrier Free Showers Walk-In Tubs Elevators and all other accessibility products.",Products & Services,rich,not_built
/platform-lifts-elevators/,service,Stiltz Lifts and Other Lifts,"Stiltz lifts stair lifts vertical platform lifts and pool lifts for home accessibility.",Stiltz Lifts and Other Lifts,rich,not_built
/ramps/,service,Ramps - Aging in Place Remodeling,Ramps of all types - modular aluminum and custom built-in solutions,Ramps,rich,not_built
/accessible-showers/,service,Accessible Showers - Aging in Place Remodeling,"Aging-In-Place Remodeling is an accessible showers & bathroom specialist creating showers that make our clients feel comfortable and secure while bathing.",Accessible Showers,rich,not_built
/accessible-sink/,service,Accessible Sink - Aging in Place Remodeling,"Adding a wheelchair accessible sink creates barrier free bathrooms. Aging-In-Place Remodeling custom builds vanities to meet our client's needs.",Accessible Sink,medium,not_built
/grab-bars-and-handrails/,service,San Diego's Premiere Grab Bars and Handrails Installer,"Aging-In-Place Remodeling is San Diego's Premiere Grab Bars and Handrails installer offering a wide variety of bars including custom fabricated handrails.",Grab Bars & Handrails,rich,not_built
/ceiling-overhead-lifts/,service,San Diego Ceiling Lifts,"Aging-In-Place Remodeling is San Diego and Southwest Riverside's most experienced Ceiling Lift installer.",Ceiling Lifts,rich,not_built
/doors/,service,Doors - Aging in Place Remodeling,Door widening sliding pocket barn and automated doors for accessibility,Doors,rich,not_built
/bathroom-safety/,service,Bathroom Safety - Aging in Place Remodeling,Bathroom safety solutions including walk-in tubs bath seats and safeway step,Bathroom Safety,medium,not_built
/traditional-remodels/,service,Traditional Remodels - Aging in Place Remodeling,"The Premiere San Diego and Riverside County Accessibility Remodeler",Traditional Remodels,medium,not_built
/portfolio/,page,Portfolio - Aging in Place Remodeling,"The Premiere San Diego and Riverside County Accessibility Remodeler",Portfolio,rich,not_built
/testimonials/,page,San Diego Aging-In-Place Remodeling Referrals,Aging-In-Place Remodeling is San Diego's most trusted home accessibility remodeler,Testimonials,rich,not_built
/consulting/,page,Aging-In-Place Marketing Strategies and Products - 1 Day Course,"Aging-In-Place Remodeling offers a 1 day course on building your own Aging In Place business",Aging In Place Consulting,medium,not_built
